City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Westport,41.1415,-73.3579,48.33,53,100,18.41,US,2022-04-10 23:12:23
68,Kedrovyy,56.1667,91.8167,21.87,97,96,4.99,RU,2022-04-10 23:15:38
69,Puerto Ayora,-0.7393,-90.3518,79.56,90,96,5.99,EC,2022-04-10 23:15:38
70,Verkhnevilyuysk,63.4453,120.3167,9.59,95,100,3.02,RU,2022-04-10 23:15:38
71,Clyde River,70.4692,-68.5914,-0.17,92,75,3.44,CA,2022-04-10 23:15:38
72,Kavieng,-2.5744,150.7967,83.52,74,99,10.38,PG,2022-04-10 23:15:39
73,Grand Gaube,-20.0064,57.6608,75.6,86,14,5.99,MU,2022-04-10 23:15:39
74,Havre-Saint-Pierre,50.2334,-63.5986,35.96,87,100,4.61,CA,2022-04-10 23:15:39
75,Hermanus,-34.4187,19.2345,63.81,88,4,10.98,ZA,2022-04-10 23:15:40
76,Ponta Do Sol,32.6667,-17.1,63.23,76,23,15.35,PT,2022-04-10 23:15:40
77,Upernavik,72.7868,-56.1549,4.44,85,100,7.05,GL,2022-04-10 23:15:40
78,Alekseyevsk,57.8406,108.3492,26.42,97,100,1.5,RU,2022-04-10 23:15:41
79,Strezhevoy,60.7333,77.5889,18.95,92,99,5.59,RU,2022-04-10 23:15:41
80,Teguldet,57.3064,88.1667,11.55,97,19,4.16,RU,2022-04-10 23:15:41
81,Amuntai,-2.4177,115.2494,72.97,99,93,1.34,ID,2022-04-10 23:15:42
82,Sibi,29.5448,67.8764,86.36,10,93,5.01,PK,2022-04-10 23:15:42
83,Arucas,28.1198,-15.5233,61.57,77,42,8.23,ES,2022-04-10 23:15:42
84,Atuona,-9.8,-139.0333,79.39,77,14,15.61,PF,2022-04-10 23:12:02
85,Coihaique,-45.5752,-72.0662,51.75,76,75,2.3,CL,2022-04-10 23:14:40
86,Dera Bugti,29.0307,69.151,82.99,15,100,2.98,PK,2022-04-10 23:15:43
87,Cascais,38.6979,-9.4215,61.95,74,83,15.99,PT,2022-04-10 23:15:43
88,Mahebourg,-20.4081,57.7,75.49,83,20,14.97,MU,2022-04-10 23:15:44
89,Saint-Philippe,-21.3585,55.7679,78.39,83,53,12.37,RE,2022-04-10 23:15:44
90,Mogadishu,2.0371,45.3438,80.89,78,16,11.07,SO,2022-04-10 23:15:44
91,Iqaluit,63.7506,-68.5145,26.33,79,100,2.3,CA,2022-04-10 23:15:45
92,Cazones,20.7167,-97.3167,87.6,54,0,9.22,MX,2022-04-10 23:15:45
93,Bobrovytsya,50.75,31.3833,36.27,97,100,12.44,UA,2022-04-10 23:15:45
94,Hirara,24.8,125.2833,75.06,94,75,12.66,JP,2022-04-10 23:15:51
95,Los Andes,-32.8337,-70.5983,59.02,60,6,4.79,CL,2022-04-10 23:16:46
96,Kez,57.8979,53.7152,36.57,99,100,3.65,RU,2022-04-10 23:16:46
97,Mount Gambier,-37.8333,140.7667,59.29,56,59,9.69,AU,2022-04-10 23:16:47
98,Torbay,47.6666,-52.7314,35.28,95,100,9.22,CA,2022-04-10 23:15:52
99,Jizan,17.3333,42.6667,81.54,55,0,5.39,SA,2022-04-10 23:16:47
100,Roald,62.5833,6.1333,40.75,81,100,13.8,NO,2022-04-10 23:16:48
101,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,44,75,17.9,RU,2022-04-10 23:16:48
102,Broome,42.2506,-75.833,39.7,68,100,10.36,US,2022-04-10 23:16:48
103,Lebu,-37.6167,-73.65,51.55,80,26,11.45,CL,2022-04-10 23:16:48
104,Pahrump,36.2083,-115.9839,74.25,8,24,5.99,US,2022-04-10 23:16:49
105,Port Alfred,-33.5906,26.891,65.17,91,100,3.0,ZA,2022-04-10 23:16:49
106,Hobart,-42.8794,147.3294,56.01,63,75,12.66,AU,2022-04-10 23:16:49
