City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Castro,BR,-24.7911,-50.0119,48.81,74,0,4.16,clear sky
80,Gazli,UZ,40.1333,63.45,70.32,38,100,13.78,overcast clouds
81,Phalombe,MW,-15.8064,35.6507,66.52,94,3,2.17,clear sky
82,Upernavik,GL,72.7868,-56.1549,-16.82,98,38,6.55,scattered clouds
83,Ciudad Bolivar,VE,8.1222,-63.5497,81.0,66,89,14.74,overcast clouds
84,Arman,RU,59.7,150.1667,26.55,57,98,3.56,overcast clouds
85,Marrakesh,MA,31.6315,-8.0083,64.47,48,0,6.91,clear sky
86,Nicoya,CR,10.1483,-85.452,82.36,68,85,6.2,overcast clouds
87,Alice Springs,AU,-23.7,133.8833,90.95,19,4,10.36,clear sky
88,Palora,EC,-1.7,-77.9333,66.7,98,90,2.04,overcast clouds
89,Tiksi,RU,71.6872,128.8694,0.82,95,99,3.11,overcast clouds
90,Cidreira,BR,-30.1811,-50.2056,64.24,68,100,6.49,overcast clouds
91,Kamaishi,JP,39.2667,141.8833,42.39,74,100,13.69,overcast clouds
92,Jamestown,US,42.097,-79.2353,49.51,93,97,11.77,overcast clouds
93,Zaysan,KZ,47.4667,84.8667,47.79,18,0,2.84,clear sky
94,Carmen,MX,18.6333,-91.8333,81.63,79,32,20.76,scattered clouds
95,Biankouma,CI,7.7391,-7.6138,69.89,98,100,1.66,moderate rain
96,Padang,ID,-0.9492,100.3543,82.45,75,100,0.34,overcast clouds
97,Tabriz,IR,38.08,46.2919,45.86,36,0,13.8,clear sky
98,Dikson,RU,73.5069,80.5464,16.95,94,100,7.47,overcast clouds
99,Nizhniy Odes,RU,63.6445,54.856,22.44,86,100,11.65,overcast clouds
100,Vila Velha,BR,-20.3297,-40.2925,72.95,70,52,3.0,broken clouds
101,Kenai,US,60.5544,-151.2583,43.03,77,100,10.38,overcast clouds
102,Kulhudhuffushi,MV,6.6221,73.07,84.31,69,94,8.28,overcast clouds
103,Cape Town,ZA,-33.9258,18.4232,58.91,67,2,13.0,clear sky
104,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,75,14.97,light rain
105,Bestobe,KZ,52.4994,73.0975,57.99,35,77,12.24,broken clouds
106,Galesong,ID,-5.3166,119.3661,78.82,70,69,4.05,moderate rain
107,San Jose,US,37.3394,-121.895,65.25,54,0,16.11,clear sky
108,Cockburn Town,TC,21.4612,-71.1419,77.54,81,76,23.6,broken clouds
109,Lompoc,US,34.6391,-120.4579,61.02,84,100,15.01,mist
110,Nadym,RU,65.5333,72.5167,24.58,86,100,14.81,overcast clouds
111,Solnechnyy,RU,50.7214,136.6319,38.12,75,100,4.7,overcast clouds
112,Puerto Madryn,AR,-42.7692,-65.0385,66.25,44,1,16.67,clear sky
113,Tarakan,ID,3.3,117.6333,80.71,78,97,2.64,moderate rain
114,Tsumeb,NA,-19.2333,17.7167,65.1,59,38,4.61,scattered clouds
115,Naze,JP,28.3667,129.4833,65.01,59,34,20.76,scattered clouds
116,Lavrentiya,RU,65.5833,-171.0,29.59,96,100,14.36,light snow
117,Kirakira,SB,-10.4544,161.9205,84.54,70,66,6.24,broken clouds
118,Hastings,GB,50.8552,0.5729,52.52,84,0,8.28,clear sky
119,Lucapa,AO,-8.4192,20.7447,66.81,97,100,2.66,overcast clouds
120,Labuhan,ID,-6.8844,112.2051,84.18,70,89,4.43,overcast clouds
121,Pangody,RU,65.85,74.4859,24.21,90,100,7.67,overcast clouds
122,Lashio,MM,22.9333,97.75,83.97,44,3,1.74,clear sky
123,Tekeli,KZ,44.83,78.8239,53.94,39,0,7.87,clear sky
124,Mackay,AU,-21.15,149.2,85.68,69,16,17.02,few clouds
125,Christchurch,NZ,-43.5333,172.6333,76.41,37,97,16.11,overcast clouds
126,Novonukutskiy,RU,53.7002,102.7117,46.45,55,99,12.46,overcast clouds
127,San Patricio,US,28.017,-97.5169,75.18,88,40,11.48,scattered clouds
128,Komsomolskiy,UZ,40.4272,71.7189,63.32,42,13,9.22,few clouds
129,Qaanaaq,GL,77.484,-69.3632,-7.06,95,100,3.83,overcast clouds
130,Saint-Joseph,RE,-21.3667,55.6167,71.2,83,32,14.7,light rain
131,Talnakh,RU,69.4865,88.3972,24.3,93,100,10.49,light snow
132,Neuquen,AR,-38.9516,-68.0591,53.49,76,0,0.0,clear sky
133,Caravelas,BR,-17.7125,-39.2481,76.15,75,100,13.24,light rain
134,Novaya Igirma,RU,57.1334,103.9112,42.13,77,81,2.89,broken clouds
135,Rocha,UY,-34.4833,-54.3333,54.34,87,2,1.77,clear sky
136,Mount Isa,AU,-20.7333,139.5,92.97,26,0,5.75,clear sky
137,Mahebourg,MU,-20.4081,57.7,77.29,78,75,14.97,broken clouds
138,San Andres,CO,12.5847,-81.7006,80.65,79,100,18.7,overcast clouds
139,Isangel,VU,-19.55,169.2667,84.24,70,15,9.26,few clouds
140,Regina,CA,50.4501,-104.6178,21.04,75,100,10.36,overcast clouds
141,Sabang,ID,5.8933,95.3214,83.01,71,99,0.51,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,82.56,69,36,2.35,scattered clouds
143,Xining,CN,36.6167,101.7667,43.92,62,93,0.92,overcast clouds
144,Vaitape,PF,-16.5167,-151.75,82.44,68,2,14.43,clear sky
145,Port Blair,IN,11.6667,92.75,84.24,84,20,1.14,few clouds
146,Auchel,FR,50.5034,2.4735,48.43,91,64,6.62,broken clouds
147,Bethel,US,41.3712,-73.414,57.78,50,0,11.01,clear sky
148,High Rock,BS,26.6208,-78.2833,73.42,73,54,18.77,broken clouds
149,Khatanga,RU,71.9667,102.5,20.5,85,100,10.67,overcast clouds
150,Kidal,ML,18.4411,1.4078,76.5,12,31,13.09,scattered clouds
151,Kavieng,PG,-2.5744,150.7967,84.15,73,13,8.93,light rain
152,Goderich,CA,43.7501,-81.7165,41.92,69,100,15.1,overcast clouds
153,Kushmurun,KZ,52.4503,64.6311,49.89,63,100,8.25,overcast clouds
154,Mabaruma,GY,8.2,-59.7833,74.68,86,91,4.47,overcast clouds
155,Shitanjing,CN,39.2342,106.3439,41.59,64,100,14.5,overcast clouds
156,Georgetown,MY,5.4112,100.3354,85.95,79,20,0.0,thunderstorm
157,Teno,CL,-34.8667,-71.1833,54.82,66,0,2.48,clear sky
158,Hay River,CA,60.8156,-115.7999,18.14,92,100,9.26,overcast clouds
159,Geraldton,AU,-28.7667,114.6,72.01,83,3,11.5,clear sky
160,Mecca,SA,21.4267,39.8261,79.39,34,0,3.98,clear sky
161,Kimbe,PG,-5.5502,150.1429,88.25,62,61,5.39,light rain
162,Trairi,BR,-3.2778,-39.2689,76.86,85,61,2.26,broken clouds
163,La Ronge,CA,55.1001,-105.2842,21.15,82,100,1.19,overcast clouds
164,Jianhu,CN,29.9799,120.5712,60.75,69,100,3.4,overcast clouds
165,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,6.91,scattered clouds
166,Chuy,UY,-33.6971,-53.4616,62.04,67,83,7.43,broken clouds
167,Grindavik,IS,63.8424,-22.4338,46.9,93,100,35.68,light intensity drizzle
168,East London,ZA,-33.0153,27.9116,61.34,68,100,5.95,overcast clouds
169,Erenhot,CN,43.6475,111.9767,47.14,20,7,5.91,clear sky
170,Touros,BR,-5.1989,-35.4608,80.26,80,81,8.59,broken clouds
171,Meulaboh,ID,4.1363,96.1285,80.89,80,78,3.65,broken clouds
172,Zenzeli,RU,45.9241,47.0474,49.53,82,99,6.49,overcast clouds
173,San Cristobal,VE,7.7669,-72.225,68.29,85,100,2.68,overcast clouds
174,Brigantine,US,39.4101,-74.3646,55.06,75,73,17.92,broken clouds
175,Bredasdorp,ZA,-34.5322,20.0403,58.23,58,98,10.74,overcast clouds
176,Souillac,MU,-20.5167,57.5167,77.38,78,75,14.97,light rain
177,Miles City,US,46.4083,-105.8406,27.57,68,100,10.36,overcast clouds
178,Port Elizabeth,ZA,-33.918,25.5701,57.49,77,0,3.44,clear sky
179,Trofors,NO,65.5333,13.4063,24.71,82,91,5.37,overcast clouds
180,Samarai,PG,-10.6167,150.6667,83.5,72,100,8.39,overcast clouds
181,Bilibino,RU,68.0546,166.4372,30.9,78,100,3.04,overcast clouds
182,Ixtapa,MX,20.7,-105.2,74.23,83,100,3.0,overcast clouds
